gene_a,gene_b,fr_label,sl_label,source_GI_flag,PC9_GI_flag,HeLa_GI_flag,PC9_GI_score,PC9_GI_fdr,HeLa_GI_score,HeLa_GI_fdr
CCNL2,CCNL1,FR_negative,True,synthetic_lethal,SL_in_PC9,SL_in_HeLa,-2.31378830103662,0.000165476537420071,-1.26108418597121,0.0261675251096235
CDK6,CDK4,FR_negative,True,synthetic_lethal,SL_in_PC9,neither_in_HeLa,-1.53756762504208,0.000340280033181014,-0.251834192554007,0.30738939143755
GSK3B,GSK3A,FR_negative,True,synthetic_lethal,SL_in_PC9,SL_in_HeLa,-1.42976711423091,0.00161770764072111,-1.65958010714093,0.01245087079164
G3BP2,G3BP1,FR_negative,True,synthetic_lethal,SL_in_PC9,neither_in_HeLa,-1.42939731587992,0.00469262529607357,0.0217836504687466,0.951159086727449
CNOT8,CNOT7,FR_negative,True,synthetic_lethal,SL_in_PC9,SL_in_HeLa,-1.2081817296025,0.00469262529607357,-2.06307927771428,2.21545562877921e-05
SEC24B,SEC24A,FR_negative,True,synthetic_lethal,SL_in_PC9,SL_in_HeLa,-1.11833921072253,0.00246310751023258,-0.651448452404026,0.0360918055823125
COQ10B,COQ10A,FR_negative,True,synthetic_lethal,SL_in_PC9,SL_in_HeLa,-1.11755246573245,0.00224148615389714,-0.577353666071444,0.0357653805788222
PDS5B,PDS5A,FR_negative,True,synthetic_lethal,SL_in_PC9,neither_in_HeLa,-1.11559415777634,0.0188568244762264,-1.15163362724992,0.243004041846746
ARPP19,ENSA,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-1.08184395019483,0.135622289944679,-0.34612149880819,0.420764186767567
ACSL3,ACSL4,FR_negative,True,synthetic_lethal,SL_in_PC9,neither_in_HeLa,-1.04431786643056,0.0903251792404103,-0.558266037182725,0.120798541259436
HNRNPD,HNRNPAB,FR_negative,True,synthetic_lethal,SL_in_PC9,SL_in_HeLa,-1.04355143860198,0.00171480734160616,-0.796183683960377,0.0288069663788996
SPOPL,SPOP,FR_negative,True,synthetic_lethal,SL_in_PC9,neither_in_HeLa,-1.0387016772045,0.0406891780681938,-0.321253449286625,0.44775662301138
OXSR1,STK39,FR_negative,True,synthetic_lethal,SL_in_PC9,neither_in_HeLa,-1.03410743420795,0.00429876433221743,-0.562953049627902,0.122119038669539
TLK2,TLK1,FR_negative,True,synthetic_lethal,SL_in_PC9,SL_in_HeLa,-1.02131235445562,0.0286085467107444,-0.812007941283658,0.0332791875500847
ROCK2,ROCK1,FR_negative,True,synthetic_lethal,SL_in_PC9,neither_in_HeLa,-1.01103354950255,0.0208682638983803,-0.419299218045039,0.00785824851615727
AKIRIN1,AKIRIN2,FR_negative,True,synthetic_lethal,SL_in_PC9,SL_in_HeLa,-1.00662537279486,0.00569710470314616,-0.610420180736048,0.0463729894372626
EIF1B,EIF1,FR_negative,True,synthetic_lethal,SL_in_PC9,SL_in_HeLa,-0.988709941003261,0.00418187625235077,-1.72331194866835,0.00373920028510982
AP2A1,AP2A2,FR_negative,True,synthetic_lethal,SL_in_PC9,SL_in_HeLa,-0.978456633785354,0.00327791815640032,-0.935470130547187,0.000765001533544676
CREBBP,EP300,FR_negative,True,synthetic_lethal,SL_in_PC9,neither_in_HeLa,-0.972710502399576,0.00131628881978621,-0.69142862498111,0.165067759415652
TIAL1,TIA1,FR_negative,True,synthetic_lethal,SL_in_PC9,SL_in_HeLa,-0.969587605415926,0.00153702500702475,-1.10031182166397,0.00128642068435686
CLASP2,CLASP1,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.953300882435942,0.11424532745087,-0.315914274412177,0.257817791207905
