"Dose_uM","inhibition","Pair_Key","Which_Drug"
0.0097656,0.5922438,"1","A"
0.0390626,0.60245686,"1","A"
0.15625,0.6076255,"1","A"
0.625,0.6062738,"1","A"
2.5,0.54209366,"1","A"
0.0001954,-0.0376006,"1","B"
0.0007812,-0.1813851,"1","B"
0.003125,0.4117312,"1","B"
0.0125,0.53333004,"1","B"
0.05,0.71304855,"1","B"
0.0097656,-0.538751,"2","A"
0.0390626,-0.8723946,"2","A"
0.15625,-0.81184,"2","A"
0.625,-0.5147575,"2","A"
2.5,0.53019165,"2","A"
0.0001954,0.0475548,"2","B"
0.0007812,0.1042966,"2","B"
0.003125,0.5968784,"2","B"
0.0125,0.68311079,"2","B"
0.05,0.76972704,"2","B"
