"Dose_uM","inhibition","Pair_Key","Which_Drug"
0.0325,3788.58089936102,"1","A"
0.0325,3788.58089936102,"1","A"
0.0325,3788.58089936102,"1","A"
0.0325,3788.58089936102,"1","A"
0.08,16563.530942492,"1","A"
0.08,16563.530942492,"1","A"
0.08,16563.530942492,"1","A"
0.08,16563.530942492,"1","A"
0.2,43231.1042811502,"1","A"
0.2,43231.1042811502,"1","A"
0.2,43231.1042811502,"1","A"
0.2,43231.1042811502,"1","A"
0.5,97083.0599201278,"1","A"
0.5,97083.0599201278,"1","A"
0.5,97083.0599201278,"1","A"
0.5,97083.0599201278,"1","A"
0.223,3399.50404472843,"1","B"
0.223,3399.50404472843,"1","B"
0.223,3399.50404472843,"1","B"
0.223,3399.50404472843,"1","B"
0.775,3624.19773322684,"1","B"
0.775,3624.19773322684,"1","B"
0.775,3624.19773322684,"1","B"
0.775,3624.19773322684,"1","B"
2.75,39147.3978753994,"1","B"
2.75,39147.3978753994,"1","B"
2.75,39147.3978753994,"1","B"
2.75,39147.3978753994,"1","B"
10,71048.8577955272,"1","B"
10,71048.8577955272,"1","B"
10,71048.8577955272,"1","B"
10,71048.8577955272,"1","B"
0.000325,-5542.00057028754,"2","A"
0.000325,-5542.00057028754,"2","A"
0.000325,-5542.00057028754,"2","A"
0.000325,-5542.00057028754,"2","A"
0.0016,78430.352028754,"2","A"
0.0016,78430.352028754,"2","A"
0.0016,78430.352028754,"2","A"
0.0016,78430.352028754,"2","A"
0.008,149546.519616613,"2","A"
0.008,149546.519616613,"2","A"
0.008,149546.519616613,"2","A"
0.008,149546.519616613,"2","A"
0.04,150395.59985623,"2","A"
0.04,150395.59985623,"2","A"
0.04,150395.59985623,"2","A"
0.04,150395.59985623,"2","A"
0.325,41668.012028754,"2","B"
0.325,41668.012028754,"2","B"
0.325,41668.012028754,"2","B"
0.325,41668.012028754,"2","B"
0.8,73397.6641853035,"2","B"
0.8,73397.6641853035,"2","B"
0.8,73397.6641853035,"2","B"
0.8,73397.6641853035,"2","B"
2,88874.4585782748,"2","B"
2,88874.4585782748,"2","B"
2,88874.4585782748,"2","B"
2,88874.4585782748,"2","B"
5,93136.4456549521,"2","B"
5,93136.4456549521,"2","B"
5,93136.4456549521,"2","B"
5,93136.4456549521,"2","B"
