"gene_a","gene_b","truth","paralogy_passed","cond_coess_effect","comp_dep_effect","comp_upreg_passed"
"ARFGEF1","ARFGEF2","FR_positive",TRUE,-0.423326535263284,0.10343135292104,FALSE
"CNOT7","CNOT8","FR_positive",TRUE,0.0510735157030175,0.158680075884991,FALSE
"COPS7A","COPS7B","FR_positive",TRUE,-0.505158631997795,0.116008717055679,FALSE
"CSNK2A1","CSNK2A2","FR_positive",TRUE,-0.365555514563865,0.274239797806307,FALSE
"DDX19A","DDX19B","FR_positive",TRUE,-0.130342303041792,0.0571136896088883,FALSE
"DNAJA1","DNAJA2","FR_positive",TRUE,0.0637223456497359,0.146444327088037,FALSE
"GSK3A","GSK3B","FR_positive",TRUE,-0.376142909248178,0.35218672005586,FALSE
"HDAC1","HDAC2","FR_positive",TRUE,-0.471322371887628,0.150948158703337,FALSE
"HSP90AA1","HSP90AB1","FR_positive",TRUE,-0.25945917089954,0.0794947801669257,FALSE
"MAPK1","MAPK3","FR_positive",TRUE,-0.363548103077912,0.100669791522676,FALSE
"PAPOLA","PAPOLG","FR_positive",TRUE,0.0533437290217316,0.165152278425152,FALSE
"PITPNA","PITPNB","FR_positive",TRUE,-0.353825146277442,0.0291938260606042,FALSE
"PTP4A1","PTP4A2","FR_positive",TRUE,-0.119317534729794,0.0892913111772974,FALSE
"SAFB","SAFB2","FR_positive",TRUE,-0.0909751578377262,0.201899450168334,FALSE
"SAR1A","SAR1B","FR_positive",TRUE,-0.455156778505968,0.218207421524627,FALSE
"TIA1","TIAL1","FR_positive",TRUE,-0.167394132321207,0.201483327928491,FALSE
"AKT1","AKT2","FR_negative",TRUE,-0.446151150418819,0.203747725088823,FALSE
"AP2A1","AP2A2","FR_negative",TRUE,-0.232613701286335,0.251241242784114,FALSE
"ARHGEF3","NET1","FR_negative",TRUE,-0.622009122952519,0.00434747263534051,FALSE
"ARID1A","ARID1B","FR_negative",TRUE,-0.165235121999332,0.255397488979207,FALSE
"ARPC1A","ARPC1B","FR_negative",TRUE,-0.594942632170979,0.127113022892945,FALSE
"BRWD1","PHIP","FR_negative",TRUE,-0.457027975250853,0.0886598507158061,FALSE
"COQ8A","COQ8B","FR_negative",TRUE,-0.54059138344964,-0.0642213553568611,FALSE
"DMXL1","DMXL2","FR_negative",TRUE,-0.570354473628016,-0.0117969170983994,FALSE
"DNMT3A","DNMT3B","FR_negative",TRUE,0.0806804296096212,-0.0132900912382456,FALSE
"DYNC1LI1","DYNC1LI2","FR_negative",TRUE,-0.261344933660933,0.194059057199939,FALSE
"DYRK2","DYRK3","FR_negative",TRUE,-0.380476744037506,-0.0934431734121361,FALSE
"FAM117B","GLCCI1","FR_negative",TRUE,-0.233821441716179,0.009496032318555,FALSE
"FNIP1","FNIP2","FR_negative",TRUE,-0.643080081931353,0.0356988878805024,FALSE
"GIGYF1","GIGYF2","FR_negative",TRUE,-0.37274179057434,-0.0178618946596706,FALSE
"GLB1","GLB1L","FR_negative",TRUE,-0.494312386054434,0.00542163820126329,FALSE
"GOLPH3","GOLPH3L","FR_negative",TRUE,-0.228062604479767,0.0393769284234485,FALSE
"GOT1","GOT2","FR_negative",TRUE,-0.257400604715313,-0.118023555236286,FALSE
"HDAC4","HDAC5","FR_negative",TRUE,-0.540057083096457,0.079587946129733,FALSE
"ITSN1","ITSN2","FR_negative",TRUE,-0.238082486977921,-0.0496094116056852,TRUE
"JAK1","TYK2","FR_negative",TRUE,-0.183308344588594,0.172328692021904,FALSE
"KATNA1","KATNAL1","FR_negative",TRUE,-0.36238279095422,0.0919379229594139,FALSE
"LSM14A","LSM14B","FR_negative",TRUE,-0.0328943342109658,0.0573928335129418,FALSE
"MARK3","MARK4","FR_negative",TRUE,-0.606416301861987,-0.0105620970883547,FALSE
"MBD2","MBD3","FR_negative",TRUE,-0.565405139155153,-0.0161685559742752,FALSE
"MTMR3","MTMR4","FR_negative",TRUE,-0.218180561918139,0.0619174072507517,FALSE
"NAP1L1","NAP1L4","FR_negative",TRUE,-0.486182608306921,0.0988879090934377,FALSE
"PITPNM1","PITPNM2","FR_negative",TRUE,-0.116958959819376,0.136661009224955,FALSE
"PLEKHF1","PLEKHF2","FR_negative",TRUE,-0.458343022603309,0.00650203253059164,FALSE
"PSEN1","PSEN2","FR_negative",TRUE,-0.36462365287601,0.015728002005621,FALSE
"RANBP10","RANBP9","FR_negative",TRUE,-0.39255423576395,0.142836259724376,FALSE
"ROCK1","ROCK2","FR_negative",TRUE,-0.309807484983829,0.459562275727928,FALSE
"SCRN2","SCRN3","FR_negative",TRUE,-0.135366899859546,0.0071940515486469,FALSE
"SMARCA2","SMARCA4","FR_negative",TRUE,-0.183758778518685,-0.131034686370054,FALSE
"SMARCC1","SMARCC2","FR_negative",TRUE,-0.201677802854582,0.167997965570146,FALSE
"STAM","STAM2","FR_negative",TRUE,-0.440079286910273,-0.0400623987306883,FALSE
"STX12","STX7","FR_negative",TRUE,-0.305620639726208,0.0608340721282089,FALSE
"TFCP2","UBP1","FR_negative",TRUE,-0.331503837910125,0.147196884240481,FALSE
"TNPO1","TNPO2","FR_negative",TRUE,-0.0238737474827849,0.0416163152266744,FALSE
"TPM3","TPM4","FR_negative",TRUE,0.0351422458852183,0.140895690187217,FALSE
"TSPAN14","TSPAN17","FR_negative",TRUE,-0.576919486677488,-0.0352909072811331,FALSE
"UBALD1","UBALD2","FR_negative",TRUE,-0.265830228557385,0.285536657525202,FALSE
"UBR1","UBR2","FR_negative",TRUE,-0.19283888302675,0.0295241615502424,FALSE
"ULK1","ULK2","FR_negative",TRUE,-0.659853057165392,0.0145222087137854,FALSE
"USP12","USP46","FR_negative",TRUE,-0.443206467523667,0.111560004890975,FALSE
"USP20","USP33","FR_negative",TRUE,-0.224148449673511,-0.049914879693443,FALSE
"VDAC2","VDAC3","FR_negative",TRUE,-0.349114534107449,0.0606947180127165,FALSE
"WASF1","WASF2","FR_negative",TRUE,-0.0576651016280025,0.00593155949134135,FALSE
"YIPF1","YIPF2","FR_negative",TRUE,-0.203759232725541,-0.062025100187447,FALSE
"ZSWIM4","ZSWIM6","FR_negative",TRUE,-0.624078257135923,0.0376086335480435,FALSE
