sorted_gene_pair,A1,A2,A1_entrez,A2_entrez,SL,min_sequence_identity,closest,WGD,family_size,cds_length_ratio,shared_domains,has_pombe_ortholog,has_essential_pombe_ortholog,has_cerevisiae_ortholog,has_essential_cerevisiae_ortholog,conservation_score,mean_age,either_in_complex,mean_complex_essentiality,colocalisation,interact,n_total_ppi,fet_ppi_overlap,shared_ppi_mean_essentiality,gtex_spearman_corr,gtex_min_mean_expr,gtex_max_mean_expr
AAK1_BMP2K,AAK1,BMP2K,22848,55589,False,0.341947,True,False,2,0.827883,1.0,True,False,True,False,7,976.25,False,0.0,0.0,False,77,21.867726,0.479952,0.261701,6.713555,6.761786
ABCA1_ABCA7,ABCA1,ABCA7,19,10347,False,0.498894,False,True,12,0.94916,0.666667,False,False,False,False,5,4200.0,False,0.0,0.0,False,31,0.0,0.0,0.02752,15.168588,15.825617
ABCA5_ABCA8,ABCA5,ABCA8,23461,10351,False,0.411084,False,False,12,0.987219,1.0,False,False,False,False,6,842.0,False,0.0,0.5,False,2,0.0,0.0,0.110327,14.144399,33.940349
ABCB10_ABCB9,ABCB10,ABCB9,23456,23457,False,0.310705,False,False,5,0.95974,1.0,True,False,True,False,9,4200.0,False,0.0,0.0,False,41,0.0,0.0,0.226137,3.318743,10.787253
ABCB10_TAP1,ABCB10,TAP1,23456,6890,True,0.269802,False,False,5,0.913473,1.0,True,False,True,False,9,2280.6,True,0.031209,0.0,False,90,3.843823,0.246207,0.333776,10.787253,49.159422
ABCB6_ABCB7,ABCB6,ABCB7,10058,22,False,0.312352,True,True,2,0.894425,0.666667,True,True,True,True,8,1628.0,False,0.0,0.2,False,69,2.728141,0.476593,0.27614,16.524977,39.42341
ABCB8_ABCB9,ABCB8,ABCB9,11194,23457,False,0.285901,False,False,5,0.955844,1.0,False,False,True,False,7,4200.0,False,0.0,0.0,False,38,0.0,0.0,0.66601,3.318743,13.515618
ABCB8_TAP1,ABCB8,TAP1,11194,6890,False,0.25,False,False,5,0.909765,1.0,False,False,True,False,7,2280.6,True,0.031209,0.0,False,89,1.055102,0.738622,0.176997,13.515618,49.159422
ABCB9_TAP1,ABCB9,TAP1,23457,6890,False,0.335396,False,False,5,0.951792,1.0,False,False,True,False,6,2280.6,True,0.031209,0.0,False,74,0.0,0.0,0.00622,3.318743,49.159422
ABCB9_TAP2,ABCB9,TAP2,23457,6891,False,0.359008,True,False,5,0.912987,1.0,False,False,True,False,6,2262.25,False,0.0,0.0,False,38,3.887831,0.002601,0.175216,3.318743,20.837646
ABCC1_ABCC4,ABCC1,ABCC4,4363,10257,False,0.312214,False,False,9,0.865535,1.0,True,False,True,False,7,1628.0,False,0.0,0.333333,False,83,9.891972,0.308192,0.628964,4.305553,22.846734
ABCC4_ABCC5,ABCC4,ABCC5,10257,10057,False,0.309673,False,False,9,0.922114,1.0,False,False,True,False,7,1628.0,False,0.0,0.2,False,35,0.0,0.0,0.127652,4.305553,21.330964
ABCC4_ABCC9,ABCC4,ABCC9,10257,10060,False,0.260813,False,False,9,0.855484,1.0,False,False,True,False,7,1628.0,True,0.005202,0.0,False,25,0.0,0.0,0.352663,4.305553,7.682218
ABCD1_ABCD3,ABCD1,ABCD3,215,5825,False,0.342282,False,False,4,0.884718,1.0,False,False,True,False,7,1269.0,False,0.0,0.0,True,131,14.716263,0.123147,0.196553,13.281516,15.077551
ABCD1_ABCD4,ABCD1,ABCD4,215,5826,False,0.205369,False,False,4,0.813673,1.0,False,False,True,False,8,876.0,False,0.0,0.0,False,45,1.639032,0.0,0.348504,13.281516,24.756812
